Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,castor.castor_0,castor.castor_1,castor.castor_2,castor.castor_3,segway.segway_0,segway.segway_1,segway.segway_2,segway.segway_3
1669927714.9806545,147,1669927714,980477333,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.9909708,148,1669927714,990518331,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.0007377,149,1669927715,440597,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.0106943,150,1669927715,10474205,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.021015,151,1669927715,20496368,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.0306125,152,1669927715,30417680,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.0406873,153,1669927715,40427446,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.0505314,154,1669927715,50384044,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.060496,155,1669927715,60345649,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.070959,156,1669927715,70521354,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.080567,157,1669927715,80405950,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.0906847,158,1669927715,90378284,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.1006522,159,1669927715,100402593,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.110838,160,1669927715,110340118,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927715.120706,161,1669927715,120404720,,-2.5566347176209092e-05,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
